cidade_residencial;bairro_residencial;cidade_trabalho;bairro_trabalho;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Lapa;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Casa Verde;;;;;
Ribeirão Pires;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Jabaquara;São Paulo;Pinheiros;;;;;
São Paulo;Tatuapé;São Paulo;República;;;;;
São Paulo;Tucuruvi;São Paulo;Santana;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Bela Vista;;;;;
São Paulo;Lapa;São Paulo;Sé;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;República;;;;;
Teixeira;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Sé;;;;;
São Paulo;Consolação;São Paulo;República;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Jabaquara;;;;;
São Paulo;Jabaquara;São Paulo;Santana;;;;;
Mendes;República;Não informado;Não informado;;;;;
Barros de Mendes;Perdizes;São Paulo;Casa Verde;;;;;
São Paulo;Higienópolis;São Paulo;Casa Verde;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Santo Amaro;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Campo Limpo;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Tucuruvi;São Paulo;Santana;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Consolação;;;;;
São Paulo;Tatuapé;São Paulo;Higienópolis;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Sé;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;Penha;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Tucuruvi;;;;;
São Paulo;Tucuruvi;São Paulo;Higienópolis;;;;;
Freitas;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Tucuruvi;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Sé;;;;;
São Paulo;Santo Amaro;São Paulo;Bela Vista;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;Santana;;;;;
São Paulo;Vila Prudente;São Paulo;Santana;;;;;
São Paulo;Penha;São Paulo;Santana;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
Fernandes de Duarte;República;São Paulo;Higienópolis;;;;;
São Paulo;Casa Verde;São Paulo;Higienópolis;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
