data;nome_estabelecimento;bairro_estabelecimento;categoria_estabelecimento;tipo_cupom;valor_cupom;repasse_picmoney
10/07/2025;Habib's;República;Lojas de Eletrônicos e Games;Cashback;229.64;11.48
15/07/2025;Smart Fit;Vila Prudente;Lojas de Eletrônicos e Games;Cashback;356.33;17.82
20/07/2025;Outback;Tucuruvi;Igrejas e Lojas de Artigos Religiosos;Produto;719.06;27.61
20/07/2025;Subway;Penha;Fisioterapia e Terapias Complementares;Produto;798.34;25.85
07/07/2025;Octavio Café;Santo Amaro;Clínicas Médicas e Laboratórios;Produto;718.45;28.85
16/07/2025;Madero;Pinheiros;Lojas de Moda Urbana e Alternativa;Produto;130.7;2.14
17/07/2025;Forever 21;Tatuapé;Espaços Culturais e de Experiência Interativa;Produto;446.41;5.28
18/07/2025;Habib's;Bela Vista;Barbearias/Salões com estética jovem;Desconto;736.05;130.77
29/07/2025;Sabin;Limão;Clínicas de Saúde e Bem-estar;Cashback;374.01;18.7
23/07/2025;Lavoisier;Lapa;Clínicas de Saúde e Bem-estar;Produto;370.51;14.55
22/07/2025;Lavoisier;Sé;Lojas de Moda Urbana e Alternativa;Cashback;184.84;9.24
15/07/2025;Renner;Lapa;Lojas de Eletrônicos e Games;Produto;421.27;16.7
04/07/2025;Starbucks;Bela Vista;Espaços Culturais e de Experiência Interativa;Desconto;631.25;108.17
22/07/2025;Lavoisier;República;Clínicas de Saúde e Bem-estar;Desconto;342.34;127.61
08/07/2025;Subway;Santana;Lanchonetes e Fast-Food;Produto;230.95;9.35
18/07/2025;Ponto;Sé;Bancos, Agências e Correspondentes;Produto;909.36;51.62
16/07/2025;Café Cultura;Bela Vista;Lojas de Móveis e Decoração;Desconto;715.71;349.9
19/07/2025;Selfit;Vila Prudente;Academias e Studios Fitness;Desconto;138.46;16.86
26/07/2025;Droga Raia;Santana;Fisioterapia e Terapias Complementares;Produto;556.24;27.28
24/07/2025;Extra;Itaquera;Cinema e Streaming Experience Stores;Desconto;164.86;68.54
24/07/2025;Just Run;Higienópolis;Papelarias, Livrarias e Lojas de Escritório;Cashback;718.26;35.91
10/07/2025;Renner;Jabaquara;Lojas de Eletrônicos e Games;Cashback;380.29;19.01
02/07/2025;Subway;Limão;Lanchonetes e Fast-Food;Produto;327.79;15.81
27/07/2025;Clube Pinheiros;Ipiranga;Clubes e Centros de Convivência;Produto;564.02;31.62
20/07/2025;Carrefour Express;Ipiranga;Supermercados e Mercados Express;Cashback;189.86;9.49
27/07/2025;Carrefour Express;Santo Amaro;Fisioterapia e Terapias Complementares;Cashback;316.89;15.84
10/07/2025;Sabin;Pinheiros;Postos de Combustível e Serviços Automotivos;Produto;683.85;8.73
01/07/2025;Renner;Higienópolis;Coworkings e Centros de Estudo/Conexão;Cashback;589.75;29.49
27/07/2025;Sesc Paulista;Casa Verde;Clubes e Centros de Convivência;Desconto;460.86;135.64
07/07/2025;Drogasil;Santo Amaro;Lojas de Eletrodomésticos e Utilidades Domésticas;Desconto;728.68;203.46
03/07/2025;Drogaria São Paulo;Butantã;Postos de Combustível e Serviços Automotivos;Desconto;473.85;66.58
28/07/2025;Riachuelo;Perdizes;Lojas de Roupas e Sneakers;Cashback;118.91;5.95
06/07/2025;Drogaria São Paulo;Ipiranga;Bancos e Casas Lotéricas;Produto;977.93;49.58
27/07/2025;Drogasil;Tucuruvi;Farmácias e Drogarias;Produto;732.05;34.72
08/07/2025;Forever 21;Penha;Lojas de Roupas e Sneakers;Cashback;210.41;10.52
10/07/2025;Burger King;Jabaquara;Bancos e Casas Lotéricas;Cashback;714.18;35.71
21/07/2025;Café Cultura;República;Clínicas Médicas e Laboratórios;Cashback;552.25;27.61
16/07/2025;Extra;Campo Limpo;Coworkings e Centros de Estudo/Conexão;Desconto;724.53;300.54
05/07/2025;Sesc Carmo;Tatuapé;Espaços Culturais e de Experiência Interativa;Desconto;821.18;402.4
04/07/2025;Madero;Perdizes;Espaços Culturais e de Experiência Interativa;Produto;615.31;6.18
23/07/2025;Casas Bahia;Santana;Restaurantes com comida caseira;Desconto;461.25;120.15
10/07/2025;Café Cultura;Bela Vista;Cafeterias e Bistrôs Modernos;Produto;735.08;13.6
19/07/2025;Smart Fit;Penha;Lojas de Móveis e Decoração;Cashback;883.64;44.18
15/07/2025;Madero;Perdizes;Igrejas e Lojas de Artigos Religiosos;Cashback;624.38;31.22
14/07/2025;Açaí no Ponto;Vila Prudente;Fisioterapia e Terapias Complementares;Produto;379.56;6.69
07/07/2025;Clube Pinheiros;Campo Limpo;Supermercados de Bairro e Mercadinhos;Produto;466.05;15.29
27/07/2025;Renner;Tatuapé;Restaurantes com comida caseira;Desconto;214.84;90.14
04/07/2025;Drogasil;Bela Vista;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;390.29;6.9
07/07/2025;Selfit;Butantã;Academias e Studios Fitness;Desconto;997.23;215.79
06/07/2025;Ponto;Itaquera;Fisioterapia e Terapias Complementares;Desconto;828.43;287.26
26/07/2025;Droga Raia;Penha;Barbearias/Salões com estética jovem;Desconto;504.54;172.54
08/07/2025;Madero;Pinheiros;Cinema e Streaming Experience Stores;Produto;391.33;14.09
16/07/2025;Sabin;Casa Verde;Clínicas de Saúde e Bem-estar;Cashback;433.57;21.68
04/07/2025;Churrascaria Boi Preto;Higienópolis;Restaurantes e Gastronomia;Cashback;204.79;10.24
07/07/2025;Fleury;Lapa;Supermercados de Bairro e Mercadinhos;Produto;477.76;20.81
30/07/2025;Sesc Paulista;Sé;Lojas de Roupas e Calçados;Produto;226.09;11.72
21/07/2025;Clube Pinheiros;Lapa;Restaurantes com comida caseira;Produto;207.65;6.9
24/07/2025;Churrascaria Boi Preto;República;Lojas de Moda Urbana e Alternativa;Desconto;533.46;159.93
20/07/2025;Subway;Sé;Lanchonetes e Fast-Food;Produto;600.78;19.13
30/07/2025;Drogasil;Santana;Farmácias e Drogarias;Desconto;390.09;184.03
26/07/2025;Magazine Luiza;Sé;Cinema e Streaming Experience Stores;Desconto;162.62;67.35
21/07/2025;Sabin;Bela Vista;Clínicas de Saúde e Bem-estar;Cashback;318.91;15.95
