horario;local;modelo_celular;ultimo_valor_capturado;idade;sexo
07:30:00;Ponto de ônibus Pamplona;iPhone SE;215.39;70;Feminino
19:00:00;Metrô Consolação;Motorola G60;42.18;69;Masculino
13:00:00;Esquina Rua da Paz;iPhone 12;244.34;67;Masculino
12:15:00;MASP;iPhone 11;255.58;52;Feminino
08:00:00;Shopping Cidade São Paulo;Samsung S21;24.55;54;Outro
10:30:00;Metrô Trianon-Masp;iPhone SE;242.05;68;Masculino
16:45:00;Esquina Av. Consolação;iPhone 13;76.18;59;Feminino
22:00:00;Ponto de ônibus Augusta;Samsung Galaxy A52;90.08;25;Masculino
10:45:00;Esquina Av. Consolação;Realme C35;94.29;29;Outro
13:00:00;Esquina Rua da Paz;Samsung S21;55.54;22;Feminino
07:00:00;Ponto de ônibus Pamplona;Samsung Galaxy A52;438.62;37;Feminino
16:00:00;Metrô Consolação;Realme C35;444.44;68;Outro
07:30:00;Esquina Av. Consolação;Samsung Galaxy A52;265.38;41;Feminino
12:00:00;Esquina Rua da Paz;iPhone 12;398;60;Masculino
07:45:00;Esquina Av. Consolação;Xiaomi Redmi Note 11;395.95;39;Feminino
19:30:00;Esquina Rua da Paz;iPhone SE;430.27;22;Feminino
21:15:00;Metrô Brigadeiro;Motorola G60;231.88;43;Masculino
08:15:00;Shopping Cidade São Paulo;iPhone 14 Pro;406.86;21;Feminino
17:00:00;Metrô Trianon-Masp;Samsung Galaxy A52;310.44;21;Outro
19:30:00;Ponto de ônibus Pamplona;Samsung S21;81.59;68;Outro
14:15:00;Metrô Consolação;Xiaomi Redmi Note 11;132.74;45;Masculino
08:45:00;Esquina Rua da Paz;Samsung Galaxy A52;465.92;32;Feminino
12:30:00;Metrô Consolação;Realme C35;319.59;27;Feminino
15:45:00;Esquina Av. Consolação;Samsung S21;64.92;48;Outro
14:45:00;Shopping Pátio Paulista;iPhone 14 Pro;125.41;51;Outro
08:30:00;Esquina Av. Consolação;iPhone SE;129;68;Feminino
11:30:00;Metrô Brigadeiro;Samsung Galaxy A52;398.47;33;Masculino
20:45:00;Shopping Pátio Paulista;Realme C35;67.81;62;Masculino
08:30:00;Metrô Brigadeiro;Realme C35;132.32;25;Masculino
17:45:00;Metrô Brigadeiro;Realme C35;415.03;35;Outro
17:30:00;Esquina Av. Consolação;Realme C35;127.34;20;Outro
08:15:00;Shopping Pátio Paulista;iPhone 12;145.55;55;Feminino
18:45:00;Metrô Brigadeiro;iPhone 13;158.22;46;Masculino
18:00:00;Esquina Av. Consolação;Realme C35;188.67;65;Feminino
11:15:00;Metrô Trianon-Masp;iPhone 14 Pro;366.2;16;Feminino
11:30:00;Metrô Brigadeiro;Motorola G60;458.21;19;Masculino
20:00:00;Esquina Av. Consolação;Xiaomi Redmi Note 11;101.58;67;Masculino
07:45:00;Shopping Cidade São Paulo;Samsung S21;440.23;41;Masculino
13:15:00;Ponto de ônibus Augusta;iPhone 13;334.41;33;Outro
12:00:00;Shopping Pátio Paulista;Xiaomi Redmi Note 11;464.61;39;Masculino
09:15:00;Metrô Trianon-Masp;Realme C35;296.89;27;Feminino
13:00:00;Metrô Consolação;Xiaomi Redmi Note 11;302.78;33;Feminino
19:15:00;MASP;Realme C35;203.37;34;Outro
13:45:00;Shopping Pátio Paulista;iPhone 14 Pro;195.47;20;Feminino
08:45:00;Metrô Brigadeiro;Motorola G60;434;36;Feminino
20:15:00;Ponto de ônibus Augusta;iPhone 14 Pro;250.6;33;Masculino
09:15:00;Ponto de ônibus Pamplona;Motorola G60;154.18;30;Feminino
18:45:00;Esquina Av. Consolação;Samsung Galaxy A52;230.36;23;Outro
16:00:00;Shopping Cidade São Paulo;Samsung Galaxy A52;44.39;41;Feminino
09:30:00;Metrô Consolação;iPhone 12;251.01;20;Outro
18:00:00;Metrô Brigadeiro;iPhone 12;316.87;17;Outro
19:15:00;Metrô Consolação;Realme C35;85.17;54;Feminino
15:30:00;Ponto de ônibus Pamplona;iPhone 11;333.51;58;Masculino
17:30:00;Shopping Pátio Paulista;iPhone SE;29.63;65;Masculino
08:15:00;Esquina Rua da Paz;Samsung S21;333.52;66;Masculino
18:30:00;Metrô Trianon-Masp;iPhone 11;231.83;52;Outro
06:00:00;Metrô Consolação;iPhone 13;353.52;47;Feminino
08:45:00;Esquina Av. Consolação;iPhone 12;302.99;51;Feminino
18:45:00;MASP;Samsung S21;100.75;18;Feminino
08:30:00;Shopping Cidade São Paulo;iPhone 12;294.75;63;Outro
12:30:00;Shopping Pátio Paulista;Realme C35;132.85;69;Feminino
17:00:00;Esquina Av. Consolação;Samsung Galaxy A52;259.99;27;Feminino
19:15:00;Shopping Cidade São Paulo;Samsung S21;199.52;28;Masculino
12:15:00;Ponto de ônibus Augusta;Realme C35;494.1;26;Masculino
18:00:00;Metrô Brigadeiro;Xiaomi Redmi Note 11;409.16;25;Outro
19:00:00;Esquina Rua da Paz;Motorola G60;428.16;45;Feminino
12:30:00;Ponto de ônibus Pamplona;Motorola G60;416.52;31;Outro
08:15:00;Metrô Trianon-Masp;Motorola G60;392.11;53;Outro
18:00:00;Shopping Cidade São Paulo;Realme C35;375.56;17;Feminino
17:30:00;Metrô Trianon-Masp;Samsung Galaxy A52;56.57;34;Feminino
12:15:00;Metrô Trianon-Masp;iPhone 12;218.05;51;Feminino
